82 89
1 12 271
3 1 200
7 64 236
7 79 465
8 26 130
9 5 429
10 46 800
11 21 519
11 47 136
11 64 5
12 61 996
13 71 72
14 67 410
16 34 814
17 25 886
17 35 385
17 79 963
18 50 640
18 78 690
20 79 889
21 80 846
23 10 47
25 81 854
27 15 187
28 27 122
29 32 53
29 46 918
32 5 848
33 74 648
34 25 936
35 13 807
35 56 500
36 14 188
36 51 889
36 55 230
36 78 921
37 31 759
37 62 57
38 26 401
39 8 849
41 80 82
43 21 628
44 9 17
44 11 52
44 39 740
45 35 821
47 1 794
47 30 628
48 35 841
48 59 506
49 45 761
51 53 70
52 35 359
53 32 191
53 33 398
54 6 748
56 10 676
56 19 49
59 36 641
61 2 596
61 67 981
63 13 934
63 35 808
63 43 473
64 73 460
65 11 966
65 68 904
65 73 486
65 78 284
66 12 729
66 74 739
68 1 521
68 61 173
69 41 866
69 70 717
72 3 643
72 35 835
72 43 864
72 63 137
73 15 815
74 60 632
76 20 809
79 43 723
80 36 250
81 35 46
81 75 799
82 22 38
82 25 294
82 76 120
83
